regiao;data;turno;praca;subpraca;logados;slots;pct_logados;horario_coleta;modal
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Iracema;55;55;100.0%;2026-07-16 16:57;Todos
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Lagoa Redonda;18;20;90.0%;2026-07-16 16:57;Todos
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Barra do Ceará;60;60;100.0%;2026-07-16 16:57;Todos
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Aeroporto;18;20;90.0%;2026-07-16 16:57;Todos
Fortaleza;2026-07-16;TARDE SBFRT 15H00-17H59;FORTALEZA;Portugal;20;20;100.0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;ALMOCO 12H00-15H59;SP DEDICADO;Koto by Chef Makoto Okuwa;0;0;0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;LIVRE;14;21;66.7%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;VILA JAGUARA E JAGUARA - SP;30;46;65.2%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Poke Garden - Brooklin;5;5;100.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Greenjoy - Wraps & Saladas- Pinheiros;0;1;0.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Perdomo Doces e Bolos - Tatuapé;1;1;100.0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;CIDADE DAS FLORES - SP;4;46;8.7%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Sushi Garden One - Brooklin;2;4;50.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Vip Sushi - Vila Prudente;0;1;0.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Sushi Fast - Santana;0;0;0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Pão Com Carne Hamburgueria - Mooca;0;0;0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Pão Com Carne Hamburgueria - Mooca;0;1;0.0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;VILA GUILHERMINA - SP;3;12;25.0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Perdomo Doces e Bolos - Pinheiros;0;0;0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;FE- Vip Sushi Pirituba | HUB Virtual;0;2;0.0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;John's Burguer;1;2;50.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Sushi Garden One - Tatuapé;0;1;0.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PERDIZES - SP;4;51;7.8%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Padaria Real - Pinheiros;8;8;100.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;JABAQUARA E SANTO AMARO - SP;6;34;17.6%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;VILA JAGUARA E JAGUARA - SP;9;46;19.6%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Vip Sushi - Vila Prudente;0;0;0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;LIVRE;11;21;52.4%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PINHEIROS - SP;45;93;48.4%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Perdomo Doces e Bolos - Pinheiros;2;2;100.0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;ITAIM E BROOKLIN E INDIANAPOLIS - SP;43;119;36.1%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;MANDAQUI - SP;53;102;52.0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;INTERLAGOS - SP;4;6;66.7%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30 - 18H29 FR;SP DEDICADO;Greentable - Bandeirantes;0;0;0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;FE- Vip Sushi Osasco | HUB Virtual;0;2;0.0%;2026-07-16 16:57;Todos
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Greentable - Bandeirantes;1;2;50.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SP DEDICADO;Sushi Garden One - Jardins;3;3;100.0%;2026-07-16 16:57;MOTORCYCLE
Sao Paulo;2026-07-16;TARDE 15H30-18H29;SAO PAULO;PANAMBY E VILA SONIA - SP;13;58;22.4%;2026-07-16 16:57;Todos
